METHOD;N;K;TIME;RMSE;a
NcoK;20;50;2.8814697265625;0.4055722421917276;[0.1 0.1]
coKNN;10;100;0.052910566329956;0.4543359777371215;[0.1 0.1]
NcoK;10;100;3.0304269790649414;0.428681116460702;[0.1 0.1]
coKNN;5;200;0.0229012966156005;0.4562127595221767;[0.1 0.1]
NcoK;5;200;4.8201823234558105;0.4241628590220188;[0.1 0.1]
coK;1000;1;0.0690004825592041;0.4190268119127264;[0.1 0.1]
coKNN;100;10;0.4610919952392578;0.4165296421660633;[0.1 0.1]
NcoK;100;10;3.985625505447388;0.4210536631337325;[0.1 0.1]
coKNN;50;20;0.1847939491271972;0.4163260980568903;[0.1 0.1]
NcoK;50;20;3.484762191772461;0.4097165119059198;[0.1 0.1]
coKNN;20;50;0.0648002624511718;0.414301871563274;[0.1 0.1]
NcoK;20;50;2.902866840362549;0.4073780477230415;[0.1 0.1]
coKNN;10;100;0.031482458114624;0.4175315533174016;[0.1 0.1]
NcoK;10;100;3.003197193145752;0.4045757840153398;[0.1 0.1]
coKNN;5;200;0.0159976482391357;0.4264309534790121;[0.1 0.1]
NcoK;5;200;4.759137868881226;0.4062990258957112;[0.1 0.1]
coK;1000;1;0.0790362358093261;0.4140934883742961;[0.1 0.1]
coKNN;100;10;0.4446969032287597;0.4181995813995434;[0.1 0.1]
NcoK;100;10;3.918119192123413;0.4193263945906265;[0.1 0.1]
coKNN;50;20;0.1841664314270019;0.4600491999450549;[0.1 0.1]
NcoK;50;20;3.613229990005493;0.4473996459024161;[0.1 0.1]
coKNN;20;50;0.0692274570465087;0.4614601519052527;[0.1 0.1]
NcoK;20;50;2.866837978363037;0.4362028114813736;[0.1 0.1]
coKNN;10;100;0.0526375770568847;0.4654609221262211;[0.1 0.1]
NcoK;10;100;3.0667803287506104;0.4238335241477297;[0.1 0.1]
coKNN;5;200;0.0157513618469238;0.4695278863127181;[0.1 0.1]
NcoK;5;200;4.906032800674439;0.4223678373136911;[0.1 0.1]
coK;1000;1;0.066981554031372;0.4108661832797981;[0.1 0.1]
coKNN;100;10;0.4294230937957763;0.4042043157403604;[0.1 0.1]
NcoK;100;10;3.917344570159912;0.4056265547552959;[0.1 0.1]
coKNN;50;20;0.1837713718414306;0.4073171429451301;[0.1 0.1]
NcoK;50;20;3.484467029571533;0.3981439975000669;[0.1 0.1]
coKNN;20;50;0.0815708637237548;0.4169545582761698;[0.1 0.1]
NcoK;20;50;2.882457733154297;0.421115850066085;[0.1 0.1]
coKNN;10;100;0.0470013618469238;0.4165620155265591;[0.1 0.1]
NcoK;10;100;4.619880676269531;0.4082817938298008;[0.1 0.1]
coKNN;5;200;0.0365941524505615;0.4222506593751674;[0.1 0.1]
NcoK;5;200;10.520320892333984;0.4021555653752244;[0.1 0.1]
coK;1000;1;0.928614616394043;0.4008122981287323;[0.1 0.1]
coKNN;100;10;8.013264417648315;0.3842198266132628;[0.1 0.1]
NcoK;100;10;70.6981749534607;0.3949852070769871;[0.1 0.1]
coKNN;50;20;2.10898494720459;0.392579619521425;[0.1 0.1]
NcoK;50;20;31.76687860488892;0.4003906816467539;[0.1 0.1]
coKNN;20;50;0.1188228130340576;0.4027782233690249;[0.1 0.1]
NcoK;20;50;7.014293432235718;0.4017912485139178;[0.1 0.1]
coKNN;10;100;0.0661563873291015;0.4077407999820074;[0.1 0.1]
NcoK;10;100;5.320666074752808;0.4024665928554672;[0.1 0.1]
coKNN;5;200;0.0313062667846679;0.4089562593800455;[0.1 0.1]
NcoK;5;200;8.560502767562866;0.3941788027504309;[0.1 0.1]
coK;1000;1;0.227379560470581;0.3829906120779229;[0.1 0.1]
coKNN;100;10;1.2354559898376465;0.353198547858557;[0.1 0.1]
NcoK;100;10;27.58523750305176;0.3732170620441339;[0.1 0.1]
coKNN;50;20;0.7813265323638916;0.3697584352831696;[0.1 0.1]
NcoK;50;20;11.05400776863098;0.3482612936768271;[0.1 0.1]
coKNN;20;50;0.078765869140625;0.3812049187398313;[0.1 0.1]
NcoK;20;50;4.165855169296265;0.3598290021766332;[0.1 0.1]
coKNN;10;100;0.0629739761352539;0.3839905456629962;[0.1 0.1]
NcoK;10;100;3.881879806518554;0.3719413664320247;[0.1 0.1]
coKNN;5;200;0.0366697311401367;0.3798499407927638;[0.1 0.1]
NcoK;5;200;10.535099744796751;0.363658610242196;[0.1 0.1]
coK;1000;1;0.3147692680358886;0.3489136269419743;[0.1 0.1]
coKNN;100;10;4.258715152740479;0.4446019506167974;[0.1 0.1]
NcoK;100;10;35.86616516113281;0.4314267262469727;[0.1 0.1]
coKNN;50;20;0.2686192989349365;0.4688290241414437;[0.1 0.1]
NcoK;50;20;15.914850950241089;0.4452927729859578;[0.1 0.1]
coKNN;20;50;0.0676922798156738;0.4546330862840322;[0.1 0.1]
